Flutter Android;Flutter iOS;Native Android;Native iOS
22;17;8;21
20;19;10;25
19;18;13;30
18;22;11;17
22;19;14;32
23;13;9;28
18;13;8;29
27;15;13;32
21;19;15;29
15;17;15;30
16;19;8;25
23;13;14;30
21;18;13;31
16;13;13;30
17;19;13;23
16;21;9;30
19;19;12;30
18;14;12;26
20;19;14;30
15;20;12;30
20;18;7;16
16;16;8;26
19;19;12;18
21;13;15;29
16;13;8;19
19;19;9;28
19;18;14;27
20;20;10;28
19;13;14;27
22;17;14;14
18;12;6;27
16;19;7;27
17;18;11;27
16;19;13;29
16;15;8;27
19;17;14;27
19;19;13;27
15;13;12;30
20;21;15;26
20;20;12;26
18;23;13;30
17;19;8;14
20;18;11;32
21;18;9;29
21;24;13;29
21;15;13;27
22;18;8;27
16;18;10;27
19;13;13;23
17;18;12;18
