Flutter Android;Flutter iOS;Native Android;Native iOS
538;4924;406;4777
504;4903;408;4807
503;4986;476;4745
486;4927;341;4800
510;4972;483;4713
505;4928;332;4748
485;5034;489;4730
513;4989;482;4710
500;4986;475;4727
485;4942;475;4773
504;4920;399;4718
493;4907;484;4682
517;4918;487;5032
582;4902;416;4725
567;4790;488;4691
566;4848;483;4720
557;4886;475;4717
570;4800;482;4726
504;4842;488;4718
510;4858;479;4705
493;4774;470;4716
482;4803;432;4708
497;4839;453;4701
497;4921;472;4749
489;4887;489;4692
505;4869;483;4695
509;5088;487;4721
482;4782;483;4730
495;4802;490;4722
427;4850;411;4733
495;4822;340;4739
480;4842;479;4717
519;4849;473;4698
486;4824;475;4749
513;4836;469;4782
636;5018;485;4899
496;4810;479;4769
514;4779;341;4694
489;5057;335;4735
505;4813;481;4692
485;4894;480;4689
514;4818;483;4738
488;4793;470;4819
502;5065;484;4757
433;4783;478;4698
480;4781;477;4751
506;4813;480;4744
489;4838;480;4725
500;4807;449;4712
507;4874;486;4712
