Flutter Android;Flutter iOS;Native Android;Native iOS
2315;2227;1260;4244
2313;2222;1246;4222
2313;2229;1246;4210
2314;2225;1254;4211
2313;2224;1261;4209
2313;2232;1249;4240
2315;2223;1243;4211
2314;2219;1249;4210
2314;2222;1246;4209
2314;2219;1248;4219
2314;2231;1249;4243
2313;2235;1257;4208
2314;2245;1291;4218
2313;2251;1246;4209
2313;2227;1252;4206
2313;2233;1247;4219
2313;2224;1245;4211
2314;2222;1256;4209
2315;2222;1245;4209
2312;2220;1256;4248
2314;2243;1247;4248
2314;2263;1245;4215
2313;2285;1258;4218
2313;2299;1245;4208
2313;2239;1249;4208
2314;2225;1251;4250
2316;2221;1249;4208
2314;2221;1248;4210
2315;2225;1266;4207
2313;2226;1334;4219
2314;2221;1247;4256
2314;2241;1249;4209
2313;2227;1255;4207
2314;2332;1249;4208
2313;2356;1247;4209
2313;2264;1256;4248
2312;2245;1249;4209
2314;2228;1250;4220
2314;2243;1249;4208
2314;2230;1251;4208
2313;2223;1249;4240
2313;2245;1247;4210
2314;2224;1249;4209
2314;2241;1247;4215
2313;2242;1248;4208
2313;2227;1251;4250
2313;2223;1257;4208
2312;2225;1250;4209
2313;2250;1256;4209
2314;2229;1251;4211
