Flutter Android;Flutter iOS;Native Android;Native iOS
121;202;19;8
126;191;20;9
112;192;24;9
114;196;20;7
120;188;21;8
118;199;23;8
123;207;19;8
115;198;22;7
115;204;14;8
123;201;22;7
112;198;21;11
121;188;19;11
110;205;21;12
124;195;17;8
107;204;13;10
128;226;20;8
112;189;18;7
118;228;19;12
117;201;17;16
112;206;22;9
116;199;17;8
114;207;18;7
121;191;19;8
115;209;18;9
113;202;19;9
119;197;12;9
127;198;21;8
110;206;17;9
108;214;22;9
109;195;11;8
112;189;13;9
113;189;23;8
114;196;15;9
107;190;16;8
125;175;16;8
113;215;19;9
138;189;17;9
110;193;14;9
110;193;17;8
104;198;23;8
109;198;21;8
119;192;22;13
113;233;19;10
115;209;18;8
125;211;18;10
117;199;14;8
112;203;18;10
105;196;19;8
113;214;17;9
119;209;17;9
