Flutter Android;Flutter iOS;Native Android;Native iOS
7,9;49m 25s;7,73;1h 0m 18s
8,28;50m 20s;7,92;59m 18s
7,99;56m 30s;7,54;1h 1m 15s
7,96;54m 44s;7,84;1h 0m 50s
7,74;47m 12s;7,86;1h 1m 6s
8,03;45m 50s;8,02;59m 6s
8,35;49m 20s;7,76;58m 45s
7,88;48m 17s;7,91;56m 53s
7,95;52m 17s;7,83;59m 40s
