Flutter Android;Flutter iOS;Native Android;Native iOS
514;531;741;463
545;475;692;462
521;479;710;468
514;480;697;488
477;453;746;475
577;460;682;427
513;469;728;492
544;462;722;489
539;461;754;442
595;455;772;455
536;463;692;503
556;510;739;455
563;514;693;458
520;454;729;503
521;502;705;459
508;443;731;468
599;470;666;441
540;458;731;457
526;459;696;441
549;471;702;433
544;511;707;448
513;496;650;463
521;463;720;469
595;463;741;452
528;451;696;503
609;465;737;451
556;515;732;466
491;436;663;492
603;517;713;487
527;463;743;528
481;464;768;442
506;467;755;458
511;483;744;475
548;434;736;469
556;439;700;474
570;458;696;480
568;454;746;435
572;474;712;444
527;508;667;457
586;459;713;449
524;445;718;462
534;466;757;438
575;479;728;457
534;456;730;489
502;454;698;469
578;488;720;437
535;465;717;474
522;459;748;471
557;449;745;452
506;452;718;466
