Flutter Android;Flutter iOS;Native Android;Native iOS
4461;2841;5187;3167
4469;2869;5107;3166
4539;2903;5528;3159
4462;2868;5122;3161
4603;2892;5267;3158
4464;2857;5116;3101
4463;2860;5075;3100
4523;2892;5133;3095
4460;2844;5042;3091
4562;2835;5035;3084
4464;2882;5175;3154
4476;2933;5087;3154
4470;2917;5090;3160
4475;2916;5106;3156
4458;2931;5152;3171
4474;2993;5107;3162
4467;2980;5126;3175
4599;2972;5127;3185
4462;3028;5227;3172
4452;2849;4903;3350
4470;2847;5118;3335
4462;3015;5053;3322
4495;2883;5067;3317
4473;2846;5065;3217
4463;2857;5106;3197
4464;2892;5179;3324
4450;2865;5720;3342
4607;2887;5530;3318
4471;2837;5227;3337
4473;2887;5123;3344
4498;2913;5199;3343
4459;2903;5100;3342
4488;2843;5208;3331
4469;2871;5115;3352
4477;2858;4884;3288
4476;2875;5125;3153
4471;2848;5174;3165
4494;2852;5113;3164
4460;2901;4897;3152
4466;2844;5168;3114
4455;2838;5125;3121
4461;2858;5040;3122
4645;2862;5036;3124
4463;2924;5039;3147
4465;2870;5119;3131
4469;3088;4863;3130
4473;2853;5107;3130
4468;2880;5126;3118
4457;2848;5103;3130
4460;2854;5170;3192
